UniProt ID (2598),Description,Resistance mechanism
A1JRQ2,Multidrug resistance protein MdtH,efflux pump
A1K323,Macrolide export ATP-binding/permease protein MacB,efflux pump
A1K3C4,Undecaprenyl-diphosphatase,target alteration
A1KF14,Multidrug efflux ATP-binding/permease protein BCG_0231,efflux pump
A1KHB7,Response regulator MprA,efflux pump
A1KIJ9,Probable triacylglyceride transporter BCG_1471c,efflux pump
A1KKH9,Undecaprenyl-diphosphatase,target alteration
A1KVM7,Undecaprenyl-diphosphatase,target alteration
A1R6P8,Undecaprenyl-diphosphatase,target alteration
A1RG29,Macrolide export ATP-binding/permease protein MacB,efflux pump
A1RMH4,Undecaprenyl-diphosphatase,target alteration
A1S3T2,Undecaprenyl-diphosphatase,target alteration
A1SJZ1,Undecaprenyl-diphosphatase,target alteration
A1SRC7,Undecaprenyl-diphosphatase,target alteration
A1T6B0,Virginiamycin B lyase,product inactivation
A1TAS8,Undecaprenyl-diphosphatase,target alteration
A1TEL7,Response regulator MprA,efflux pump
A1TNT7,Undecaprenyl-diphosphatase,target alteration
A1U0A9,Macrolide export ATP-binding/permease protein MacB,efflux pump
A1U6U1,Undecaprenyl-diphosphatase,target alteration
A1UHV6,Undecaprenyl-diphosphatase,target alteration
A1UJW6,Virginiamycin B lyase,product inactivation
A1UL70,Response regulator MprA,efflux pump
A1V1I5,Undecaprenyl-diphosphatase,target alteration
A1VDC9,Undecaprenyl-diphosphatase,target alteration
A1VLZ3,Undecaprenyl-diphosphatase,target alteration
A1VXT4,Undecaprenyl-diphosphatase,target alteration
A1VYW8,Macrolide export ATP-binding/permease protein MacB,efflux pump
A1W560,Undecaprenyl-diphosphatase,target alteration
A1WK80,Undecaprenyl-diphosphatase,target alteration
A1WUY5,Undecaprenyl-diphosphatase,target alteration
A2AXI2,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
A2BQX7,Undecaprenyl-diphosphatase,target alteration
A2BWT5,Undecaprenyl-diphosphatase,target alteration
A2C1W8,Undecaprenyl-diphosphatase,target alteration
A2C666,Undecaprenyl-diphosphatase,target alteration
A2RCI8,Undecaprenyl-diphosphatase,target alteration
A2RNZ5,Undecaprenyl-diphosphatase,target alteration
A2S9B4,Undecaprenyl-diphosphatase,target alteration
A2SEL8,Undecaprenyl-diphosphatase,target alteration
A3CQ79,Undecaprenyl-diphosphatase,target alteration
A3D1Q8,Undecaprenyl-diphosphatase,target alteration
A3DHS8,Undecaprenyl-diphosphatase,target alteration
A3M3H0,Adhesin Ata autotransporter,efflux pump
A3M8D6,Undecaprenyl-diphosphatase,target alteration
A3MMT3,Undecaprenyl-diphosphatase,target alteration
A3NTZ5,Undecaprenyl-diphosphatase 1,target alteration
A3NYA9,Undecaprenyl-diphosphatase 2,target alteration
A3PCQ0,Undecaprenyl-diphosphatase,target alteration
A3PNJ7,Undecaprenyl-diphosphatase,target alteration
A3Q1C2,Undecaprenyl-diphosphatase,target alteration
A3Q393,Virginiamycin B lyase,product inactivation
A3Q5L9,Response regulator MprA,efflux pump
A3QBM7,Undecaprenyl-diphosphatase,target alteration
A4FF33,Virginiamycin B lyase,product inactivation
A4FFN9,Undecaprenyl-diphosphatase,target alteration
A4G8J0,Undecaprenyl-diphosphatase,target alteration
A4IJS3,Undecaprenyl-diphosphatase,target alteration
A4IS40,Metallothiol transferase FosB,product inactivation
A4QEA1,Undecaprenyl-diphosphatase,target alteration
A4SDF5,Undecaprenyl-diphosphatase,target alteration
A4SHM8,Undecaprenyl-diphosphatase,target alteration
A4SQW8,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A4SQW9,Bifunctional polymyxin resistance protein ArnA,target alteration
A4SQX1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A4SR87,Multidrug resistance protein MdtH,efflux pump
A4TB90,Undecaprenyl-diphosphatase,target alteration
A4THT4,Undecaprenyl-diphosphatase,target alteration
A4TIM3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A4TIM4,Bifunctional polymyxin resistance protein ArnA,target alteration
A4TIM6,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A4TIP9,Multidrug resistance protein MdtK,efflux pump
A4TJI9,Spermidine export protein MdtI,efflux pump
A4TJJ0,Spermidine export protein MdtJ,efflux pump
A4TJL9,Multidrug resistance protein MdtH,efflux pump
A4TMR2,Multidrug resistance protein MdtA,efflux pump
A4TMR4,Putative multidrug resistance protein MdtD,efflux pump
A4VLM0,Undecaprenyl-diphosphatase 1,target alteration
A4VNS0,Undecaprenyl-diphosphatase 2,target alteration
A4VXK6,Undecaprenyl-diphosphatase,target alteration
A4W3V2,Undecaprenyl-diphosphatase,target alteration
A4W978,Multidrug resistance protein MdtH,efflux pump
A4W9T2,Multidrug resistance protein MdtK,efflux pump
A4WA57,Spermidine export protein MdtJ,efflux pump
A4WA58,Spermidine export protein MdtI,efflux pump
A4WAM1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A4WAM3,Bifunctional polymyxin resistance protein ArnA,target alteration
A4WAM4,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A4WCC0,Multidrug resistance protein MdtA,efflux pump
A4WCC1,Multidrug resistance protein MdtB,efflux pump
A4WCC2,Multidrug resistance protein MdtC,efflux pump
A4WCC3,Putative multidrug resistance protein MdtD,efflux pump
A4WEI9,Undecaprenyl-diphosphatase,target alteration
A4WWA0,Undecaprenyl-diphosphatase,target alteration
A4XM19,Undecaprenyl-diphosphatase,target alteration
A4XUB9,Undecaprenyl-diphosphatase,target alteration
A4Y4F7,Undecaprenyl-diphosphatase,target alteration
A4YJM2,Undecaprenyl-diphosphatase,target alteration
A5CRN8,Undecaprenyl-diphosphatase,target alteration
A5CWY7,Undecaprenyl-diphosphatase,target alteration
A5D2Q9,Undecaprenyl-diphosphatase,target alteration
A5E8M5,Undecaprenyl-diphosphatase,target alteration
A5EW93,Undecaprenyl-diphosphatase,target alteration
A5F9D4,Undecaprenyl-diphosphatase,target alteration
A5FWG2,Undecaprenyl-diphosphatase,target alteration
A5GNW2,Undecaprenyl-diphosphatase,target alteration
A5GQQ0,Undecaprenyl-diphosphatase,target alteration
A5HBL2,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
A5I5U3,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
A5IIP0,Undecaprenyl-diphosphatase,target alteration
A5INR0,Sensor protein kinase WalK,target alteration
A5IQL3,Sensor protein kinase GraS,target alteration
A5IQN7,Undecaprenyl-diphosphatase,target alteration
A5ISA3,Probable dual-specificity RNA methyltransferase RlmN,target alteration
A5ISW7,Quinolone resistance protein NorB,efflux pump
A5IUV7,Multidrug resistance efflux pump SepA,efflux pump
A5IVB5,Metallothiol transferase FosB,product inactivation
A5U123,Response regulator MprA,efflux pump
A5U493,Beta-lactamase,product inactivation
A5U4G2,Undecaprenyl-diphosphatase,target alteration
A5V412,Undecaprenyl-diphosphatase,target alteration
A5VVU6,Undecaprenyl-diphosphatase,target alteration
A5W499,Undecaprenyl-diphosphatase,target alteration
A5WCV5,Undecaprenyl-diphosphatase,target alteration
A6H239,Undecaprenyl-diphosphatase,target alteration
A6KZJ8,Undecaprenyl-diphosphatase,target alteration
A6LEL8,Undecaprenyl-diphosphatase,target alteration
A6LJI3,Undecaprenyl-diphosphatase,target alteration
A6LZF4,Virginiamycin B lyase,product inactivation
A6QA78,Undecaprenyl-diphosphatase,target alteration
A6QD58,Sensor protein kinase WalK,target alteration
A6QEW9,Sensor protein kinase GraS,target alteration
A6QEZ2,Undecaprenyl-diphosphatase,target alteration
A6QGB8,Probable dual-specificity RNA methyltransferase RlmN,target alteration
A6QGY6,Quinolone resistance protein NorB,efflux pump
A6QJ09,Multidrug resistance efflux pump SepA,efflux pump
A6QJH4,Metallothiol transferase FosB,product inactivation
A6T273,Undecaprenyl-diphosphatase,target alteration
A6T7D8,Multidrug resistance protein MdtH,efflux pump
A6T8S5,Spermidine export protein MdtJ,efflux pump
A6T8S6,Spermidine export protein MdtI,efflux pump
A6TA11,Multidrug resistance protein MdtK,efflux pump
A6TBH3,Multidrug resistance protein MdtA,efflux pump
A6TBH4,Multidrug resistance protein MdtB,efflux pump
A6TBH5,Multidrug resistance protein MdtC,efflux pump
A6TBH6,Putative multidrug resistance protein MdtD,efflux pump
A6TE36,Undecaprenyl-diphosphatase,target alteration
A6TF96,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A6TF98,Bifunctional polymyxin resistance protein ArnA,target alteration
A6TF99,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A6TG19,Multidrug resistance protein MdtL,efflux pump
A6TW45,Undecaprenyl-diphosphatase,target alteration
A6TXG9,Sensor protein kinase WalK,target alteration
A6TZD7,Sensor protein kinase GraS,target alteration
A6TZG1,Undecaprenyl-diphosphatase,target alteration
A6U137,Probable dual-specificity RNA methyltransferase RlmN,target alteration
A6U1Q6,Quinolone resistance protein NorB,efflux pump
A6U3P7,Multidrug resistance efflux pump SepA,efflux pump
A6U458,Metallothiol transferase FosB,product inactivation
A6UFC2,Undecaprenyl-diphosphatase,target alteration
A6V1N8,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A6V1P0,Bifunctional polymyxin resistance protein ArnA,target alteration
A6V1P1,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A6V6L2,Undecaprenyl-diphosphatase,target alteration
A6VCX3,L-methionine sulfoximine/L-methionine sulfone acetyltransferase,product inactivation
A6W915,Undecaprenyl-diphosphatase,target alteration
A6WKK8,Undecaprenyl-diphosphatase,target alteration
A6WYK2,Undecaprenyl-diphosphatase,target alteration
A7FE74,Undecaprenyl-diphosphatase,target alteration
A7FG15,Putative multidrug resistance protein MdtD,efflux pump
A7FG16,Multidrug resistance protein MdtC,efflux pump
A7FG18,Multidrug resistance protein MdtA,efflux pump
A7FHH4,Bifunctional polymyxin resistance protein ArnA,target alteration
A7FHH6,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A7FHJ7,Multidrug resistance protein MdtK,efflux pump
A7FIB4,Spermidine export protein MdtI,efflux pump
A7FIB5,Spermidine export protein MdtJ,efflux pump
A7FIE5,Multidrug resistance protein MdtH,efflux pump
A7FX96,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
A7GH77,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
A7GNY8,Metallothiol transferase FosB,product inactivation
A7H0X7,Undecaprenyl-diphosphatase,target alteration
A7H1R9,Undecaprenyl-diphosphatase,target alteration
A7H6N5,Undecaprenyl-diphosphatase,target alteration
A7HJT4,Undecaprenyl-diphosphatase,target alteration
A7HS58,Undecaprenyl-diphosphatase,target alteration
A7I0J2,Undecaprenyl-diphosphatase,target alteration
A7MEJ4,Spermidine export protein MdtJ,efflux pump
A7MEJ5,Spermidine export protein MdtI,efflux pump
A7MFC3,Multidrug resistance protein MdtK,efflux pump
A7MG31,Multidrug resistance protein MdtH,efflux pump
A7MHI9,Putative multidrug resistance protein MdtD,efflux pump
A7MHJ0,Multidrug resistance protein MdtC,efflux pump
A7MHJ1,Multidrug resistance protein MdtB,efflux pump
A7MJT8,Undecaprenyl-diphosphatase,target alteration
A7MWQ3,Undecaprenyl-diphosphatase,target alteration
A7WWQ7,Sensor protein kinase WalK,target alteration
A7WZC5,Sensor protein kinase GraS,target alteration
A7WZF5,Undecaprenyl-diphosphatase,target alteration
A7X1H8,Probable dual-specificity RNA methyltransferase RlmN,target alteration
A7X2C6,Quinolone resistance protein NorB,efflux pump
A7X534,Multidrug resistance efflux pump SepA,efflux pump
A7X5T8,Metallothiol transferase FosB,product inactivation
A7Z1T2,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
A7Z3A4,Metallothiol transferase FosB,product inactivation
A7Z830,Undecaprenyl-diphosphatase,target alteration
A7ZFX1,Undecaprenyl-diphosphatase,target alteration
A7ZKF6,Multidrug resistance protein MdtG,efflux pump
A7ZKH0,Multidrug resistance protein MdtH,efflux pump
A7ZM58,Spermidine export protein MdtI,efflux pump
A7ZM59,Spermidine export protein MdtJ,efflux pump
A7ZMC9,Multidrug resistance protein MdtK,efflux pump
A7ZNP7,Multidrug resistance protein MdtA,efflux pump
A7ZNP8,Multidrug resistance protein MdtB,efflux pump
A7ZNP9,Multidrug resistance protein MdtC,efflux pump
A7ZNQ0,Putative multidrug resistance protein MdtD,efflux pump
A7ZP72,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A7ZP73,Bifunctional polymyxin resistance protein ArnA,target alteration
A7ZP75,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A7ZRT8,Undecaprenyl-diphosphatase,target alteration
A7ZTR5,Multidrug resistance protein MdtL,efflux pump
A7ZZ10,Multidrug resistance protein MdtG,efflux pump
A7ZZ23,Multidrug resistance protein MdtH,efflux pump
A8A0E0,Spermidine export protein MdtI,efflux pump
A8A0E1,Spermidine export protein MdtJ,efflux pump
A8A0L0,Multidrug resistance protein MdtK,efflux pump
A8A1U6,Multidrug resistance protein MdtA,efflux pump
A8A1U7,Multidrug resistance protein MdtB,efflux pump
A8A1U8,Multidrug resistance protein MdtC,efflux pump
A8A1U9,Putative multidrug resistance protein MdtD,efflux pump
A8A2C1,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A8A2C2,Bifunctional polymyxin resistance protein ArnA,target alteration
A8A2C4,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A8A4L2,Undecaprenyl-diphosphatase,target alteration
A8A6H2,Multidrug resistance protein MdtL,efflux pump
A8ACM0,Multidrug resistance protein MdtL,efflux pump
A8AEE4,Putative multidrug resistance protein MdtD,efflux pump
A8AEE5,Multidrug resistance protein MdtC,efflux pump
A8AEE6,Multidrug resistance protein MdtB,efflux pump
A8AGX4,Spermidine export protein MdtI,efflux pump
A8AGX5,Spermidine export protein MdtJ,efflux pump
A8AH48,Multidrug resistance protein MdtK,efflux pump
A8AI11,Multidrug resistance protein MdtH,efflux pump
A8AI28,Multidrug resistance protein MdtG,efflux pump
A8APU0,Undecaprenyl-diphosphatase,target alteration
A8AYY7,Undecaprenyl-diphosphatase,target alteration
A8C927,16S rRNA (adenine(1408)-N(1))-methyltransferase,target alteration
A8FK06,Undecaprenyl-diphosphatase,target alteration
A8FRR0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A8FRR2,Bifunctional polymyxin resistance protein ArnA,target alteration
A8FRR3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A8FS68,Undecaprenyl-diphosphatase,target alteration
A8G4L8,Undecaprenyl-diphosphatase,target alteration
A8GCZ5,Multidrug resistance protein MdtG,efflux pump
A8GDR6,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A8GDR7,Bifunctional polymyxin resistance protein ArnA,target alteration
A8GDR9,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A8GFH6,Spermidine export protein MdtI,efflux pump
A8GFH7,Spermidine export protein MdtJ,efflux pump
A8GFK7,Multidrug resistance protein MdtH,efflux pump
A8GHQ9,Multidrug resistance protein MdtB,efflux pump
A8GHR0,Multidrug resistance protein MdtC,efflux pump
A8GHR1,Putative multidrug resistance protein MdtD,efflux pump
A8GJU8,Undecaprenyl-diphosphatase,target alteration
A8H157,Undecaprenyl-diphosphatase,target alteration
A8LQR9,Undecaprenyl-diphosphatase,target alteration
A8MFV5,Undecaprenyl-diphosphatase,target alteration
A8YYD4,Multidrug resistance efflux pump SepA,efflux pump
A8YYU2,Sensor protein kinase WalK,target alteration
A8YZV4,Undecaprenyl-diphosphatase,target alteration
A8Z182,Sensor protein kinase GraS,target alteration
A8Z3Q4,Probable dual-specificity RNA methyltransferase RlmN,target alteration
A8Z415,Quinolone resistance protein NorB,efflux pump
A8Z522,Metallothiol transferase FosB,product inactivation
A8ZXM2,Undecaprenyl-diphosphatase,target alteration
A9GC83,Undecaprenyl-diphosphatase,target alteration
A9HI81,Undecaprenyl-diphosphatase,target alteration
A9HXK3,Undecaprenyl-diphosphatase,target alteration
A9KK15,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
A9KNK1,Undecaprenyl-diphosphatase,target alteration
A9L5I7,Undecaprenyl-diphosphatase,target alteration
A9M2I7,Undecaprenyl-diphosphatase,target alteration
A9MCW8,Undecaprenyl-diphosphatase,target alteration
A9MEJ6,Multidrug resistance protein MdtK,efflux pump
A9MGZ7,Multidrug resistance protein MdtH,efflux pump
A9MH10,Multidrug resistance protein MdtG,efflux pump
A9MJC5,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A9MJT5,Multidrug resistance protein MdtL,efflux pump
A9MKW9,Multidrug resistance protein MdtC,efflux pump
A9MKX0,Multidrug resistance protein MdtB,efflux pump
A9MPV8,Undecaprenyl-diphosphatase,target alteration
A9MRT8,Spermidine export protein MdtI,efflux pump
A9MRT9,Spermidine export protein MdtJ,efflux pump
A9MWE8,Purine ribonucleoside efflux pump NepI,efflux pump
A9MX86,Multidrug resistance protein MdtL,efflux pump
A9MZZ2,Spermidine export protein MdtI,efflux pump
A9MZZ3,Spermidine export protein MdtJ,efflux pump
A9N0Y8,Multidrug resistance protein MdtK,efflux pump
A9N5B0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A9N5B2,Bifunctional polymyxin resistance protein ArnA,target alteration
A9N5B3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A9N5P5,Multidrug resistance protein MdtH,efflux pump
A9N5Q9,Multidrug resistance protein MdtG,efflux pump
A9N7L0,Putative multidrug resistance protein MdtD,efflux pump
A9N7L1,Multidrug resistance protein MdtC,efflux pump
A9N7L2,Multidrug resistance protein MdtB,efflux pump
A9NF64,Undecaprenyl-diphosphatase,target alteration
A9QYW1,Spermidine export protein MdtI,efflux pump
A9QYW2,Spermidine export protein MdtJ,efflux pump
A9QYZ2,Multidrug resistance protein MdtH,efflux pump
A9QZC0,Multidrug resistance protein MdtK,efflux pump
A9QZU7,Putative multidrug resistance protein MdtD,efflux pump
A9QZU8,Multidrug resistance protein MdtC,efflux pump
A9R091,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
A9R093,Bifunctional polymyxin resistance protein ArnA,target alteration
A9R094,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
A9R4E0,Multidrug transporter MdfA,efflux pump
A9R7E0,Undecaprenyl-diphosphatase,target alteration
A9VQJ9,Virginiamycin B lyase,product inactivation
A9VRT9,Metallothiol transferase FosB,product inactivation
A9WSJ0,Undecaprenyl-diphosphatase,target alteration
A9WW52,Undecaprenyl-diphosphatase,target alteration
B0C1T8,Undecaprenyl-diphosphatase,target alteration
B0K0H2,Undecaprenyl-diphosphatase,target alteration
B0K909,Undecaprenyl-diphosphatase,target alteration
B0KUY1,Undecaprenyl-diphosphatase,target alteration
B0S9E8,Undecaprenyl-diphosphatase,target alteration
B0SS37,Undecaprenyl-diphosphatase,target alteration
B0T669,Undecaprenyl-diphosphatase,target alteration
B0TIP2,Undecaprenyl-diphosphatase,target alteration
B0VEM6,Undecaprenyl-diphosphatase,target alteration
B0VS31,Undecaprenyl-diphosphatase,target alteration
B1HZM2,Metallothiol transferase FosB,product inactivation
B1I2Y8,Undecaprenyl-diphosphatase,target alteration
B1I9P6,Undecaprenyl-diphosphatase,target alteration
B1IBM3,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,target alteration
B1IL14,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
B1IQ91,Multidrug resistance protein MdtK,efflux pump
B1IQZ0,Spermidine export protein MdtJ,efflux pump
B1IQZ1,Spermidine export protein MdtI,efflux pump
B1IRQ9,Undecaprenyl-diphosphatase,target alteration
B1IV37,Multidrug resistance protein MdtH,efflux pump
B1IV49,Multidrug resistance protein MdtG,efflux pump
B1IX28,Multidrug resistance protein MdtL,efflux pump
B1IXT0,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B1IXT2,Bifunctional polymyxin resistance protein ArnA,target alteration
B1IXT3,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B1IYZ7,Putative multidrug resistance protein MdtD,efflux pump
B1IYZ8,Multidrug resistance protein MdtC,efflux pump
B1IYZ9,Multidrug resistance protein MdtB,efflux pump
B1J8R9,Undecaprenyl-diphosphatase,target alteration
B1JJ29,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B1JJ30,Bifunctional polymyxin resistance protein ArnA,target alteration
B1JJ32,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B1JJ53,Multidrug resistance protein MdtK,efflux pump
B1JLJ7,Spermidine export protein MdtI,efflux pump
B1JLJ8,Spermidine export protein MdtJ,efflux pump
B1JLM7,Multidrug resistance protein MdtH,efflux pump
B1JM21,Undecaprenyl-diphosphatase,target alteration
B1JSD2,Putative multidrug resistance protein MdtD,efflux pump
B1JSD3,Multidrug resistance protein MdtC,efflux pump
B1JSD5,Multidrug resistance protein MdtA,efflux pump
B1KHE6,Undecaprenyl-diphosphatase,target alteration
B1KZ37,Ribosomal RNA large subunit methyltransferase Cfr,target alteration
B1LC41,Undecaprenyl-diphosphatase,target alteration
B1LEM1,Multidrug resistance protein MdtK,efflux pump
B1LET6,Spermidine export protein MdtJ,efflux pump
B1LET7,Spermidine export protein MdtI,efflux pump
B1LIU5,Multidrug resistance protein MdtH,efflux pump
B1LIV8,Multidrug resistance protein MdtG,efflux pump
B1LL36,Multidrug resistance protein MdtL,efflux pump
B1LLK8,Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,target alteration
B1LLK9,Bifunctional polymyxin resistance protein ArnA,target alteration
B1LLL1,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,target alteration
B1LNW4,Putative multidrug resistance protein MdtD,efflux pump
B1LNW5,Multidrug resistance protein MdtC,efflux pump
B1LNW6,Multidrug resistance protein MdtB,efflux pump
B1LNW7,Multidrug resistance protein MdtA,efflux pump
