CARD Accession (4571),Protein Accession,Description,Resistance Mechanism,Drug Class
ARO:3000178,AAB28795.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000179,AAA22851.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000180,AAA20116.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000181,AAB84282.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000182,AAC72341.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000183,AAD25063.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000186,BAB82500.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000190,AAA23033.2,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000191,CAA79727.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000192,AAA25293.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000193,AAF01499.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000194,CAA10975.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000195,AAA20117.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000196,ACH87088.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000197,CAD55718.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000198,CWV56762.1,fosfomycin thiol transferase,product inactivation,fosfomycin
ARO:3000205,AAA27471.1,tetracycline inactivation enzyme,product inactivation,glycylcycline;tetracycline antibiotic
ARO:3000206,BAA11236.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000215,ABQ47844.1,methicillin resistant PBP2,target replacement,carbapenem;cephalosporin;cephamycin;monobactam;penam
ARO:3000216,AAC73564.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
ARO:3000217,ABU39979.1,blaZ beta-lactamase,product inactivation,penam
ARO:3000230,AAC64365.1,ANT(2''),product inactivation,aminoglycoside antibiotic
ARO:3000237,ACN32294.1,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;macrolide antibiotic;penam;penem;peptide antibiotic;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
ARO:3000245,ADV91011.1,RbpA bacterial RNA polymerase-binding protein,target protection,rifamycin antibiotic
ARO:3000250,AAA98296.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000251,CAA36304.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3000254,BAA11237.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000263,BAA15221.2,General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
ARO:3000300,AAO43110.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3000316,BAA03776.1,macrolide phosphotransferase (MPH),product inactivation,macrolide antibiotic
ARO:3000318,BAA12910.1,macrolide phosphotransferase (MPH),product inactivation,macrolide antibiotic
ARO:3000319,BAA34540.1,macrolide phosphotransferase (MPH),product inactivation,macrolide antibiotic
ARO:3000326,CAB60001.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000343,CAA03986.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000347,CAA26964.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000361,AAO38247.1,macrolide esterase,product inactivation,macrolide antibiotic
ARO:3000363,CAA27626.1,macrolide esterase,product inactivation,macrolide antibiotic
ARO:3000368,AAA24786.1,glycopeptide resistance gene cluster;van ligase,target alteration,glycopeptide antibiotic
ARO:3000375,AAF86219.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000377,AAG03814.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic
ARO:3000378,AAA74437.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic
ARO:3000379,AAG03816.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic
ARO:3000380,CAA83855.1,fosC phosphotransferase family,product inactivation,fosfomycin
ARO:3000391,AAS68233.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic
ARO:3000392,CCP44758.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000410,AEJ33969.1,sulfonamide resistant sul,target replacement,sulfonamide antibiotic;sulfone antibiotic
ARO:3000412,AAL59753.1,sulfonamide resistant sul,target replacement,sulfonamide antibiotic;sulfone antibiotic
ARO:3000413,ACJ63260.1,sulfonamide resistant sul,target replacement,sulfonamide antibiotic;sulfone antibiotic
ARO:3000421,CCQ22388.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3000423,BAA32493.1,Fom phosphotransferase family,product inactivation,fosfomycin
ARO:3000444,AIA08936.1,rifampin phosphotransferase,product inactivation,rifamycin antibiotic
ARO:3000448,AEZ36150.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3000449,BAA32494.1,Fom phosphotransferase family,product inactivation,fosfomycin
ARO:3000462,ABA28305.2,mgt macrolide glycotransferase,product inactivation,macrolide antibiotic
ARO:3000463,CAA11707.1,gimA family macrolide glycosyltransferase,product inactivation,macrolide antibiotic
ARO:3000467,AEN03071.1,NDM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3000476,CAC80727.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000478,CAD12227.2,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000481,AAK37619.1,ATP-binding cassette (ABC) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000491,BAA16344.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminoglycoside antibiotic
ARO:3000495,AAA22597.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000498,AAA88675.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000499,AAC76297.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam
ARO:3000501,BAD59497.1,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),target alteration; target replacement,peptide antibiotic;rifamycin antibiotic
ARO:3000502,AAC76298.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam
ARO:3000504,AAL19308.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic
ARO:3000508,BAE77778.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam
ARO:3000510,AEY83581,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),target alteration,mupirocin
ARO:3000516,AAC75731.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3000518,BAE77933.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam
ARO:3000521,CAA53189,antibiotic-resistant isoleucyl-tRNA synthetase (ileS),target alteration,mupirocin
ARO:3000522,AAC37034.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000526,CAL34518.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic
ARO:3000533,AAV85981.1,ATP-binding cassette (ABC) antibiotic efflux pump,efflux pump,macrolide antibiotic
ARO:3000535,AAV85982.1,ATP-binding cassette (ABC) antibiotic efflux pump,efflux pump,macrolide antibiotic
ARO:3000549,ADM92606.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,glycylcycline;tetracycline antibiotic
ARO:3000553,ADM92605.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,glycylcycline;tetracycline antibiotic
ARO:3000556,CBH51823.1,tetracycline-resistant ribosomal protection protein,target protection,tetracycline antibiotic
ARO:3000559,AGV28567.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic
ARO:3000561,AAD09860.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000565,AAV80464.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000566,AAW66497.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000567,CAM12479.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000569,AAP93922.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000572,ACD35503.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000573,ACS83748.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,tetracycline antibiotic
ARO:3000578,AAA22904.1,CfiA beta-lactamase,product inactivation,carbapenem
ARO:3000579,AIL46641.1,BlaB beta-lactamase,product inactivation,carbapenem;penam
ARO:3000582,CAB75346.1,L1 family beta-lactamase,product inactivation,cephalosporin
ARO:3000589,CAZ39946.1,NDM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3000590,AEA41876.1,NDM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam
ARO:3000592,CAA66307.2,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000593,AAC36915.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000594,AAU93796.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000595,AAA98096.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000596,AAA98484.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000598,AAC69327.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000599,CAC86410.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000600,AAP74657.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000601,AAN86837.2,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000602,AAR92235.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000603,ABW06859.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000604,AAK07612.2,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000605,AAL68827.1,Erm 23S ribosomal RNA methyltransferase,target alteration,lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic
ARO:3000606,CAB96921.1,FEZ beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3000614,AAK99775.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,macrolide antibiotic
ARO:3000616,AAL73129.1,ABC-F ATP-binding cassette ribosomal protection protein,target protection,lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic
ARO:3000617,AGC51118.1,methicillin resistant PBP2,target replacement,carbapenem;cephalosporin;cephamycin;monobactam;penam
ARO:3000620,ALH22601.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;tetracycline antibiotic
ARO:3000621,ABX30738.1,blaZ beta-lactamase,product inactivation,penam
ARO:3000656,AAC76296.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
ARO:3000676,BAB35162.1,major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic
ARO:3000746,BAB56495.1,multidrug and toxic compound extrusion (MATE) transporter,efflux pump,glycylcycline;tetracycline antibiotic
ARO:3000753,BAD89844.2,multidrug and toxic compound extrusion (MATE) transporter,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;triclosan
ARO:3000768,ACJ59254.1,small multidrug resistance (SMR) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;macrolide antibiotic
ARO:3000774,AAL14439.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,glycylcycline;tetracycline antibiotic
ARO:3000775,AAL14440.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,glycylcycline;tetracycline antibiotic
ARO:3000777,CAJ77856.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;tetracycline antibiotic
ARO:3000778,CAJ77857.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;tetracycline antibiotic
ARO:3000779,CAJ77855.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;tetracycline antibiotic
ARO:3000780,ACJ41739.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic
ARO:3000781,AAX14802.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic
ARO:3000782,AAX14803.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic
ARO:3000783,ABS43901.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic
ARO:3000784,ABS43151.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic
ARO:3000785,BAO79432.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;fluoroquinolone antibiotic;fusidic acid;macrolide antibiotic
ARO:3000789,AAL19306.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic
ARO:3000790,AAL19305.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic
ARO:3000791,AAL19304.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic
ARO:3000792,AAC75135.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic
ARO:3000793,AAC75136.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic
ARO:3000794,AAC75137.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic
ARO:3000795,BAE77781.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam
ARO:3000796,AAC76539.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam
ARO:3000800,AAB41956.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic
ARO:3000801,AAB41957.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic
ARO:3000802,AAB41958.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic
ARO:3000803,AAG05881.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic
ARO:3000804,AAG05882.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic
ARO:3000805,AAG05883.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic
ARO:3000806,AAG07592.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic
ARO:3000807,AAG07593.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic
ARO:3000808,AAG07594.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic
ARO:3000809,AAG07595.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic
ARO:3000810,AAF42063.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,macrolide antibiotic;penam
ARO:3000811,AAF42062.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,macrolide antibiotic;penam
ARO:3000812,CAA64891.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,macrolide antibiotic;penam
ARO:3000815,BAB41874.1,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,acridine dye;cephalosporin;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;penam;peptide antibiotic;tetracycline antibiotic
ARO:3000816,CCP46065.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,macrolide antibiotic;penam
ARO:3000822,AAK99679.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic
ARO:3000823,AFK13828.1,General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,carbapenem;cephalosporin;cephamycin;fluoroquinolone antibiotic;glycylcycline;monobactam;penam;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
ARO:3000826,AAL20862.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan
ARO:3000828,BAA15935.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic
ARO:3000829,BAA15934.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic
ARO:3000830,BAB38260.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic
ARO:3000832,BAB36671.1,major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic
ARO:3000833,AAC75429.1,major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,efflux pump,fluoroquinolone antibiotic;macrolide antibiotic;penam;tetracycline antibiotic
ARO:3000838,ATC67679.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic
ARO:3000839,ABD30512.1,major facilitator superfamily (MFS) antibiotic efflux pump,efflux pump,acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic
ARO:3000840,AAK38324.1,JOHN beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3000841,ABS29619.1,CGB beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3000842,AAN32638.1,EBR beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3000843,AAN63647.1,MUS beta-lactamase,product inactivation,carbapenem
ARO:3000844,AAN63648.1,TUS beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin
ARO:3000845,CAF05908.1,GIM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;monobactam;penam;penem
ARO:3000846,ACT66697.1,SIM beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
ARO:3000847,BAF91108.1,KHM beta-lactamase,product inactivation,carbapenem;cephalosporin;cephamycin;penam;penem
ARO:3000848,AGC92784.1,DIM beta-lactamase,product inactivation,carbapenem;cephalosporin
ARO:3000849,AAF09244.1,SFH beta-lactamase,product inactivation,carbapenem
ARO:3000850,AAF04458.1,GOB beta-lactamase,product inactivation,carbapenem;cephalosporin;penam
